,Country,Year,Value,Continent
277,Germany,2014,99.4074275,Europe
278,Germany,2015,100.0,Europe
279,Germany,2016,100.80833333333334,Europe
280,Germany,2017,103.59166666666668,Europe
281,Germany,2018,105.95833333333333,Europe
282,Germany,2019,107.23333333333333,Europe
283,Germany,2020,109.64999999999999,Europe
284,Germany,2021,113.11666666666667,Europe
285,Germany,2022,124.60000000000001,Europe
286,Greece,2010,95.4521875,Europe
287,Greece,2011,98.4247075,Europe
288,Greece,2012,99.90644916666668,Europe
289,Greece,2013,99.91049916666667,Europe
290,Greece,2014,98.22998833333334,Europe
291,Greece,2015,99.99999833333334,Europe
292,Greece,2016,99.77895333333333,Europe
293,Greece,2017,100.09634666666666,Europe
294,Greece,2018,100.4953,Europe
295,Greece,2019,100.38642166666666,Europe
296,Greece,2020,101.74306666666666,Europe
297,Greece,2021,103.127925,Europe
298,Greece,2022,113.28914444444445,Europe
299,Hungary,2010,85.95248916666667,Europe
300,Hungary,2011,92.1710825,Europe
301,Hungary,2012,97.67587916666666,Europe
302,Hungary,2013,100.25126083333333,Europe
303,Hungary,2014,99.45180083333334,Europe
304,Hungary,2015,99.99999833333334,Europe
305,Hungary,2016,100.30264416666667,Europe
306,Hungary,2017,102.93569166666667,Europe
307,Hungary,2018,107.07515000000001,Europe
308,Hungary,2019,112.54568333333333,Europe
309,Hungary,2020,120.70580833333334,Europe
310,Hungary,2021,124.868675,Europe
311,Hungary,2022,150.69286666666665,Europe
312,Iceland,2010,83.580855,Europe
313,Iceland,2011,86.77786250000001,Europe
314,Iceland,2012,92.06232416666667,Europe
315,Iceland,2013,96.75022833333333,Europe
316,Iceland,2014,97.23883583333334,Europe
317,Iceland,2015,100.0,Europe
318,Iceland,2016,101.32078333333334,Europe
319,Iceland,2017,98.86901833333333,Europe
320,Iceland,2018,101.32881666666667,Europe
321,Iceland,2019,105.178625,Europe
322,Iceland,2020,110.34335833333334,Europe
323,Iceland,2021,114.21908333333333,Europe
324,Iceland,2022,121.07812222222222,Europe
325,India,2010,68.03146541666666,Asia
326,India,2011,71.97082033333334,Asia
327,India,2012,78.63889725,Asia
328,India,2013,88.75530375,Asia
329,India,2014,95.04458716666666,Asia
330,India,2015,100.04074633333333,Asia
331,India,2016,105.38304508333333,Asia
332,India,2017,107.296607,Asia
333,India,2018,109.08608091666667,Asia
334,India,2019,112.99157541666666,Asia
335,India,2020,122.85327591666668,Asia
336,India,2021,127.35308500000001,Asia
337,India,2022,135.34935333333334,Asia
338,Indonesia,2010,68.00424675000001,Asia
339,Indonesia,2011,73.81541066666666,Asia
340,Indonesia,2012,78.13735783333333,Asia
341,Indonesia,2013,87.37522491666665,Asia
342,Indonesia,2014,93.33246933333334,Asia
343,Indonesia,2015,100.02167833333334,Asia
344,Indonesia,2016,107.26501133333333,Asia
345,Indonesia,2017,109.54727325,Asia
346,Indonesia,2018,114.19058575000001,Asia
347,Indonesia,2019,115.42190041666667,Asia
348,Indonesia,2020,121.61607333333332,Asia
349,Indonesia,2021,124.909453,Asia
350,Indonesia,2022,132.15400066666666,Asia
351,Iraq,2010,85.27085733333332,Asia
352,Iraq,2011,90.10521316666666,Asia
353,Iraq,2012,94.58038083333334,Asia
354,Iraq,2013,97.49367058333333,Asia
355,Iraq,2014,98.269071,Asia
356,Iraq,2015,100.02943391666666,Asia
357,Iraq,2016,99.34775758333335,Asia
358,Iraq,2017,97.300298,Asia
359,Iraq,2018,97.75993158333334,Asia
360,Iraq,2019,97.75993158333334,Asia
361,Iraq,2020,97.28358383333334,Asia
362,Iraq,2021,102.01363341666666,Asia
363,Iraq,2022,108.128156,Asia
364,Ireland,2010,101.68245833333333,Europe
365,Ireland,2011,102.8553,Europe
366,Ireland,2012,103.437675,Europe
367,Ireland,2013,104.52965,Europe
368,Ireland,2014,102.183925,Europe
369,Ireland,2015,100.0000025,Europe
370,Ireland,2016,98.66537416666667,Europe
371,Ireland,2017,96.618945,Europe
372,Ireland,2018,94.66148833333334,Europe
373,Ireland,2019,94.03057583333333,Europe
374,Ireland,2020,92.70403583333332,Europe
375,Ireland,2021,92.46946416666667,Europe
376,Ireland,2022,97.33345,Europe
377,Israel,2010,92.69844166666667,Asia
378,Israel,2011,95.81071583333333,Asia
379,Israel,2012,96.32801666666666,Asia
380,Israel,2013,101.33988166666666,Asia
381,Israel,2014,99.95759916666667,Asia
382,Israel,2015,100.00000083333333,Asia
383,Israel,2016,98.75339166666667,Asia
384,Israel,2017,98.77883333333334,Asia
385,Israel,2018,99.69470916666667,Asia
386,Israel,2019,101.76390833333333,Asia
387,Israel,2020,101.75541666666668,Asia
388,Israel,2021,102.76319166666667,Asia
389,Israel,2022,106.80680000000001,Asia
390,Italy,2010,91.87834416666668,Europe
391,Italy,2011,94.15594333333333,Europe
392,Italy,2012,96.53799083333332,Europe
393,Italy,2013,98.820465,Europe
394,Italy,2014,98.935355,Europe
395,Italy,2015,100.01530333333334,Europe
396,Italy,2016,100.20833333333333,Europe
397,Italy,2017,102.09166666666665,Europe
398,Italy,2018,103.34166666666665,Europe
399,Italy,2019,104.13333333333333,Europe
400,Italy,2020,105.59166666666665,Europe
401,Italy,2021,106.2,Europe
402,Italy,2022,114.02222222222223,Europe
403,Japan,2010,92.96769,Asia
404,Japan,2011,92.59031333333333,Asia
405,Japan,2012,92.78598416666667,Asia
406,Japan,2013,92.61006083333332,Asia
407,Japan,2014,96.57162166666667,Asia
408,Japan,2015,100.0,Asia
409,Japan,2016,102.08935833333334,Asia
410,Japan,2017,102.79415,Asia
411,Japan,2018,104.47415833333334,Asia
412,Japan,2019,104.66611666666667,Asia
413,Japan,2020,105.965425,Asia
414,Japan,2021,105.92018333333334,Asia
