Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","470","Malta","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","96.120096","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","96.234314","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","96.418274","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","96.311581","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","95.953226","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","96.718937","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","97.271873","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","96.675307","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","96.310431","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","98.545165","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","96.85891","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","96.595662","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","96.958175","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","96.615325","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","96.933604","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","95.840085","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","96.461302","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","96.979058","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","97.05399","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","97.354213","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","99.202105","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","98.633212","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","100.30607","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","100.5831","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","100.366761","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","100.082458","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","98.963936","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","98.27173","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","98.734631","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","99.755384","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","100.329804","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","100.405634","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","101.01996","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","101.226272","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","100.324629","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","99.737144","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","100.51938","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","101.065054","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","101.986609","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","101.13356","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","101.382526","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","102.880395","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","103.385869","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","103.298058","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","104.297067","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","105.871478","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","105.918556","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2017","2017","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","105.402824","X","Figure from international organizations","base year is 2015"
